País;Código ISO país;Oficina de registro;Grupo edad;Edad (años);Área Conocimiento;Sub Area Conocimiento;Nivel Académico;Estado civil;Género;Etnia de la persona;Estatura (CM);Localización;Cantidad de personas
ALEMANIA;DEU;C. BERLIN;ADULTO;29;CIENCIAS DE LA SALUD;ODONTOLOGÍA;NO INDICA;SOLTERO;FEMENINO;NINGUNA;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO JOVEN;25;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;MASCULINO;NINGUNA;175;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;37;BELLAS ARTES;DISEÑO;NO INDICA;DESCONOCIDO;MASCULINO;OTRO;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO JOVEN;28;INGENIERÍA, ARQUITECTURA Y AFINES;INGENIERÍA CIVIL Y AFINES;NO INDICA;DESCONOCIDO;MASCULINO;OTRO;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;38;BELLAS ARTES;MÚSICA;NO INDICA;DESCONOCIDO;MASCULINO;OTRO;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO JOVEN;21;BELLAS ARTES;ARTES PLÁSTICAS, VISUALES Y AFINES;NO INDICA;DESCONOCIDO;FEMENINO;SIN ETNIA REGISTRADA;145;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO JOVEN;28;CIENCIAS SOCIALES Y HUMANAS;OTROS ESTUDIOS EN CIENCIAS SOCIALES Y HUMANAS;NO INDICA;SOLTERO;MASCULINO;OTRO;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;44;ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES;ADMINISTRACIÓN;POSTGRADO - MAESTRIA;UNION_LIBRE;MASCULINO;AFRODESCENDIENTE;178;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;46;NO INDICA;NO INDICA;POSTGRADO - MAESTRIA;CASADO;MASCULINO;NINGUNA;176;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;37;MATEMÁTICAS Y CIENCIAS NATURALES;FÍSICA;NO INDICA;SOLTERO;MASCULINO;NINGUNA;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;30;INGENIERÍA, ARQUITECTURA Y AFINES;INGENIERÍA ELÉCTRICA Y AFINES;NO INDICA;DESCONOCIDO;MASCULINO;SIN ETNIA REGISTRADA;175;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;50;NINGUNA;NINGUNA;NO INDICA;DESCONOCIDO;MASCULINO;SIN ETNIA REGISTRADA;179;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;38;NO INDICA;NO INDICA;POSTGRADO - DOCTORADO;CASADO;FEMENINO;SIN ETNIA REGISTRADA;157;(51.165691, 10.451526);1
